number,title,short_desc,desc1,hours,desc2,website,astc_travel_passport_participant,icon_color,long,lat,image_url,thumb_url,is_video,city,state,zip,address
1,American Museum of Natural History,"The American Museum of Natural History is one of the largest museums in the world, with more than 32 million specimens including a 94 foot long blue whale, the largest meteorite on display in any museum worldwide, and a 563 carat star sapphire. ","The American Museum of Natural History is one of the largest museums in the world.  The museum complex consists of 45 permanent exhibition halls, as well as a planetarium and library.  The museum holds more than 32 million specimens of human, animal, plant, fossil, mineral, rock, meteorite, and human cultural artifacts.  ",Open daily. 10 AM-5:45 PM,"Scales of the Universe exhibit,  Hayden Planetarium, 94 foot long blue whale, giant sequoia, Barosaurus  and other dinosaur skeletons, 563 carat Star of India, Ahnighito meteorite (largest on display in any museum worldwide), and butterfly conservatory (seasonal).",http://www.amnh.org/,No,R,-73.971719,40.782032,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/11094445_932211323475908_199504105_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/11094445_932211323475908_199504105_n.jpg,,New York,NY,10024,Central Park W & 79th St
2,Buffalo Museum of Science,"The museum contains more than 700,000 specimens, most of which pertain to the Greater Niagara region, and cover areas such as anthropology, botany, entomology, mycology, paleontology, and zoology.  ","""Since 2010, the BMS has been on an aggressive path to renovate all of the museum's permanent exhibit experiences, transforming its former diorama-based exhibits into eight highly interactive and immersive science studio exhibit spaces...The museum has also added the Explorations early childhood gallery to its permanent offerings, as well as the National Geographic 3D Cinema presented by M&T Bank...A significant part of the Museum's collection of over 700,000 specimens pertain to the Greater Niagara Region and form by far the most complete record of life in all of its forms in this area in anthropology, botany, entomology, mycology, paleontology and zoology."" - from http://www.sciencebuff.org/site/aboutus",Open daily. 10 AM-4:00 PM,Rooftop observatory (opening in 2016) and Seymour the Mastodon and Stanley the Albertosaurus.,http://www.sciencebuff.org/,Yes,R,-78.843439,42.905918,http://www.sciencebuff.org/site/images/sideads/seymour-sidead.jpg,http://www.sciencebuff.org/site/images/sideads/seymour-sidead.jpg,,Buffalo,NY,14211,1020 Humboldt Pkwy
3,Cornell University Museum of Vertebrates,"The museum is an internationally recognized institution dedicated to the study of vertebrates; it contians more than 1.5 million specimens and 10,000 genetic samples.  (no public exhibits, but tours can be scheduled)","""The Cornell University Museum of Vertebrates (CUMV) is an internationally recognized institution dedicated to the study of vertebrates (fishes, amphibians, reptiles, birds and mammals), one of several natural history collections affiliated with Cornell University. ""Containing over 1.5 million specimens and 10,000 genetic samples, the CUMV is the primary repository for vertebrate specimens from around the world collected by Cornellians past and present...Although there are no public exhibits at the museum, museum staff are available to provide information about the collections to the Cornell community and to the public. Tours can be scheduled for classes and other interested groups."" - from http://www.cumv.cornell.edu/",Open by appointment - Monday-Friday 9 AM-5PM,"Search specimens at: http://arctos.database.museum/home.cfm#CUMV, and http://www.vertnet.org/.  View examples on Flickr at: https://www.flickr.com/photos/cumv/",http://naturalhistorycollections.cornell.edu/vertebrate/,No,R,-76.451126,42.479981,http://naturalhistorycollections.cornell.edu/vertebrate/tanagermini,http://naturalhistorycollections.cornell.edu/vertebrate/tanagermini,,Ithaca,NY,14850,159 Sapsucker Woods Rd
4,Hudson Highlands Nature Museum,"The museum contains a living collection of native animals, natural habitats and trails.  Its mission is to develop responsible caretakers of the natural world through its special focus on environmental education.","""Established in 1959, the Museum has grown into a leading provider of nature education experiences in the Hudson Valley. Its mission is to develop responsible caretakers of the natural world through its special focus on environmental education. It uses its living collections of native animals, natural habitats and trails to present a wide variety of programs for people of all ages at its two locations."" - from http://hhnaturemuseum.org/","Open Friday, Saturday, and Sunday 12 PM - 4 PM",Meet the animals (Saturdays and Sundays) and The Living Hudson Exhibit.  ,http://hhnaturemuseum.org/,No,R,-74.03407,41.42226,http://www.iloveny.com/wp-content/uploads/2012/07/dvrc-billjuliapicnic.JPG,http://www.iloveny.com/wp-content/uploads/2012/07/dvrc-billjuliapicnic.JPG,,Cornwall-on-Hudson,NY,12518,120 Muser Dr
5,Hudson River Museum,"The museum contains an extensive collection of art works from the Hudson River school, and also features exhibits on the history, science, and heritage of the region.  Also featured are the Andrus Planetarium and the Glenview Mansion. ","Founded in 1919 as Yonkers Museum, the facility the largest museum in Westchester County.  The museum contains an extensive collection of art works from the Hudson River school, and also features exhibits on the history, science, and heritage of the region.  The museum is now home to the only public planetarium in Westchester County.  Central to its history is the Glenview Mansion, a house built in 1877, which contains six period rooms.  ",Open Wednesday - Sunday 12 PM - 5 PM,The Andrus Planetarium and the Glenview Mansion period rooms. ,http://www.hrm.org/,Yes,R,-73.896375,40.95412,https://s-media-cache-ak0.pinimg.com/736x/66/4c/a7/664ca7a3fa54628df324e01b3b2b5602.jpg,https://s-media-cache-ak0.pinimg.com/736x/66/4c/a7/664ca7a3fa54628df324e01b3b2b5602.jpg,TRUE,Yonkers,NY,10701,511 Warburton Ave
6,"Natural History Museum of the Adirondacks, The WILD Center","This 54,000 square foot center is dedicated to helping visitors understand the Adirondacks region, and includes exhibit halls, animal encounters, live shows, and the opportunity to take a woodland showshoe to the Raquette River.  ","""There's a day's worth of things to see and do at the 54,000-square-foot Center and on our 81-acre campus. Come explore the exhibit halls, create your own work of art, meet one of our many animals at an animal encounter, take a woodland snowshoe down to the Raquette River, join us for a live show, or watch one of many amazing films produced by The Wild Center. "" - from http://www.wildcenter.org/","Open Memorial Day-Labor Day, 10 AM-6 PM; Labor Day - Columbus Day, 10 AM-5 PM; closed month of April; Friday, Saturday, and Sunday 1 PM - 5 PM until Memorial Day","The ""Moments, Reimagining Nature through Art"" exhibit (create your own art) and the ""Wild Walk"" (coming in 2015) ",http://www.wildcenter.org/,No,R,-74.436104,44.219734,http://www.northcountrypublicradio.org/news/images/wildwalk1.jpg,http://www.northcountrypublicradio.org/news/images/wildwalk1.jpg,,Tupper Lake,NY,12986,45 Museum Dr
7,New York State Museum,The nation's oldest and largest state museum includes exhibits tracing New York's natural and cultural past including 9/11 artifacts and a 1890s carousel.,"The nation's oldest and largest state museum, the museum houses art, artifacts (prehistoric and historic), and ecofacts that reflect New York’s cultural, natural, and geological development.  Permanent exhibits include fossils from the area, birds of New York, Harlem in the 20's, minerals of New York, and others. ",Open Tuesday - Sunday 9:30 AM - 5 PM; Closed Mondays.,"An 1890's carousel, the Cohoes Mastodon skeleton, and fire fighting vehicles from the 19th and 20th centuries.  ",http://www.nysm.nysed.gov/,No,R,-73.761752,42.648379,http://famouswonders.com/wp-content/uploads/2010/11/Albany-State-Museum.jpg,http://famouswonders.com/wp-content/uploads/2010/11/Albany-State-Museum.jpg,,Albany,NY,12230,222 Madison Ave
8,Niagara Science Museum,"""We are proud to be able to present our artifacts-antique science instruments and philosophical apparatus-in recreated 'old fashion' functional laboratories.""  The museum covers science from 1870-1930.  ","""The Niagara Science Museum (NSM) is a sanctuary for the preservation and appreciation of old science instruments and philosophical apparatus.""  - from http://www.niagarasciencemuseum.org/aboutus.htm ","Open Tuesday, Thursday, Saturday, and Sunday from 12 - 2 PM (June 1st - October 15th); by appointment only during September and October.",Discharge in Gases Laboratory (watch sparks jump) and other live demonstrations (instruments are fully functioning),http://www.niagarasciencemuseum.org/, ,R,-79.044379,43.119936,http://artvoice.com/issues/v8n25/art_of_summer/art2,http://artvoice.com/issues/v8n25/art_of_summer/art2,,Niagara Falls,NY,14305,3625 Highland Ave
9,Museum of the Earth at the Paleontological Research Institution,"Explore Earth's prehistoric past through fossils, science-inspired art, and engaging displays.  Watch paleontologists uncover fossils and dinosaur bones…","""Explore Earth and its prehistoric past—from the tiniest trilobite to the mighty mastodon— through engaging displays, hands-on features, stunning fossils, and science-inspired art...Watch paleontologists uncover dinosaur bones and other exciting fossils in Prep Lab.
Journey 540 million years back in time with the 500-foot mural Rock of Ages, Sands of Time."" - from http://www.priweb.org/planyourvisit.php",Open Monday - Saturday 10 AM - 5 PM; Sunday 11 AM - 5 PM (Summer Hours).  Monday 10 AM - 5 PM; Closed Tuesday - Wednesday; Thursday - Saturday 10 AM - 5 PM; Sunday 11 AM - 5 PM (Winter Hours).,"Fossil lab (take home your own fossils), Hyde Park Mastodon (one of the most complete mastodon skeletons ever found), and the 44 food Right Whale.  ",http://www.priweb.org,Yes,R,-76.535936,42.466494,http://blogs.cornell.edu/bioee1780/files/2012/10/photo-1pag61d.jpg,http://blogs.cornell.edu/bioee1780/files/2012/10/photo-1pag61d.jpg,,Ithaca,NY,14850,1259 Trumansburg Rd
10,Pember Museum of Natural History,"See close to 10,000 natural history objects, including vertebrate and invertebrate animals, rocks and minerals, fossils, dried plant specimen, and more.","""Mr. Pember, a member of the prestigious American Fern Society and an avid botanist, collected over 1000 specimens of plants found both locally and from around the continental United States...There are approximately 10,000 objects in the collections of the Pember Museum, covering a wide variety of natural history subjects... Specimens include vertebrate (birds, mammals and reptiles) and invertebrate animals (insects, arachnids and sea life), rocks and minerals, fossils, some anthropological and historical materials, and a herbarium (dried plant specimens)."" - from http://www.thepember.com/index.php/collections",Open Tuesday - Friday 1 PM - 5 PM; Saturdays 10 AM - 3 PM,Iridescent butterflies from around the world and bird eggs and nests from across the US,http://www.thepember.com/index.php/the-museum,,R,-73.264188,43.405875,http://thepember.com/images/museum/P1010015.JPG,http://thepember.com/images/museum/P1010015.JPG,,Granville,NY,12832,33 W Main St
11,South Fork Natural History Museum,"""A walk through the museum is like taking an interpretive nature hike""","""A walk through the museum is like taking an interpretive nature hike…you're off to explore the innovative, interactive habitat exhibits that are full of surprises…(downstairs) you'll have up close and personal encounters with live native reptiles and amphibians.""","Open Sunday, Monday, Wednesday, Friday, and Saturday 10 AM - 4 PM; Tuesday and Thursday from 10 AM - 5 PM ",Marine touch tank and panoramic deck with a 180-degree view,http://www.sofo.org/,No,R,-72.298793,40.947825,http://www.danspapers.com/wp-content/uploads/2014/01/feed-c.-richard-lewin-56.jpg,http://www.danspapers.com/wp-content/uploads/2014/01/feed-c.-richard-lewin-56.jpg,,Bridgehampton,NY,11932,377 Bridgehampton-Sag Harbor Turnpike
12,Tackapausha Museum and Preserve,"See live exhibits which include birds of prey, reptiles, amphibians, and mammals such as the Egyptian fruit bat.  ","""At the museum you can see live exhibits and monthly scheduled presentations which include; birds of prey, reptiles, amphibians, mammals such as opossums, rabbits, ground squirrels, porcupine and coming soon our amazing and unique Egyptian fruit bats."" - from http://www.nassaucountyny.gov/2951/Tackapausha-Museum-and-Preserve",Open Thursday - Sunday from 11 AM - 4 PM,Live animals such as the Egyptian fruit bats (coming soon),http://www.nassaucountyny.gov/2951/Tackapausha-Museum-and-Preserve,No,R,-73.484657,40.666742,http://cdn.newsday.com/polopoly_fs/1.3674959.1335058848!/httpImage/image.JPG_gen/derivatives/display_600/image.JPG,http://cdn.newsday.com/polopoly_fs/1.3674959.1335058848!/httpImage/image.JPG_gen/derivatives/display_600/image.JPG,,Seaford,NY,11783,2225 Washington Ave
13,Trailside Museums and Zoo,"Home to four museums which include exhibits on local geology, Native American and colonial history, and live animal exhibits.  Nature trails connect the museums. ",""" Currently, it is home to four museums which include exhibits on local geology, Native American and colonial history, animal specimens in nature study,  and live reptiles, amphibians and fish exhibits in the herpetology museum. Connecting these museums are winding nature trails that lead visitors by the bear den and other live animal exhibits and to spectular views of the Hudson River and Highlands."" - from http://www.trailsidezoo.org/about",Open daily from 10 AM - 4:30 PM,"Live animals such as the bald eagle, beaver, red fox, timber rattlesnake, and black bear",www.trailsidezoo.org/,No,R,-73.98886,41.31335,http://ww4.hdnux.com/photos/13/74/46/3131795/5/628x471.jpg,http://ww4.hdnux.com/photos/13/74/46/3131795/5/628x471.jpg,,Bear Mountain State Park,NY,10911,Seven Lakes Pkwy
14,Vanderbilt Museum,"See thousands of bird, invertebrate, and marine life specimens from around the world - including a 3,000 Egyptian mummy, and the world's largest taxidermied fish.  ","""William K. Vanderbilt II, during oceanic expeditions and unprecedented circumnavigations of the globe, collected thousands of specimens of birds, invertebrates and marine life for his museum, some of them new discoveries. With artisans from the American Museum of Natural History, he created stunning animal- and marine-habitat dioramas and galleries of artifacts from world cultures. His collections include a 3,000-year-old Egyptian mummy and a 32-foot whale shark, the world’s largest taxidermied fish, caught off Fire Island in 1935."" - from http://www.vanderbiltmuseum.org/about-us/ ",Varying hours; check http://www.vanderbiltmuseum.org/museum-exhibits/schedule/ to be sure they are open during your expected visit.,"The Charles and Helen Reichvert Planetarium, a 3,000 year old mummy, and the world's largest taxidermied fish. ",http://www.vanderbiltmuseum.org/,No,R,-73.367421,40.905141,http://si.wsj.net/public/resources/images/OB-RZ886_NYMUSE_H_20120229163006.jpg,http://si.wsj.net/public/resources/images/OB-RZ886_NYMUSE_H_20120229163006.jpg,,Centerport,NY,11721,180 Little Neck Rd
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,  ,,,,
